Bovespa Fix - Busca de Debêntures

Código;Emissor;Nº Emissão;Nº Série;Agente Fiduciário;Tipo (1);Volume em Milhões(R$);Remuneração;Lei 12.431 - Artigo 1º;Lei 12.431 - Artigo 2º
TRPL-DEB51;Tran Paulist;5;1;Pentagono;S;300,00;5,037% + IPCA;Não;Não;
TRPL-DEB71;Tran Paulist;7;1;;S;621,00;4,700%+IPCA;Não;Não;
VALE-DEB81;Vale;8;1;Pentagono;S;600,00;IPCA + 6,460%;Não;Não;
VALE-DEB82;Vale;8;2;Pentagono;S;150,00;6,570%;Não;Não;
VALE-DEB83;Vale;8;3;Pentagono;S;100,00;6,710%;Sim;Sim;
VALE-DEB84;Vale;8;4;Pentagono;S;150,00;6,780%;Sim;Sim;
VALE-DEB91;Vale;9;1;Pentagono;S;800,00;6,6232% + IPCA;Não;Não;
VALE-DEB92;Vale;9;2;Pentagono;S;550,00;6,6252% + IPCA;Não;Não;
VIVR-DCA41;Viver;4;1;Pentagono;-;125,00;2,000%;Não;Não;

C - Conversível
S - Simples
P - Permutável
Nota: A lei 12.341 dispões sobre a incid~encia do imposto sobre a renda nas operações que especifica
