idRequerimento,totalRegistros,numeroProtocolo,numeroProcesso,numeroRegistro,nomeValorMobiliario,tipoDeOferta,statusDaOferta,nomeEmissor,cnpjEmissor,nomeCoordenadorLider,cnpjCoordenadorLider,valorTotalEmReais,data,nomeTipoRequerimento,vasoComunicante,possuiBook,registroAutomatico,razaoSocialFundoAssociado
21550,4242,2257/2025,SRE/2256/2025,CVM/SRE/AUT/FDC/PRI/2025/1161;CVM/SRE/AUT/FDC/PRI/2025/1162;CVM/SRE/AUT/FDC/PRI/2025/1163;CVM/SRE/AUT/FDC/PRI/2025/1164,Cotas de FIDC,PRIMARIA,Registro Concedido,FIDC BV AUTO II SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,60.598.366/0001-36,BANCO VOTORANTIM S.A.,59.588.111/0001-03,"1.500.000.000,0000",24/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,FIDC BV AUTO II SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA
21274,4242,2028/2025,SRE/2027/2025,CVM/SRE/AUT/CRA/PRI/2025/126,Certificados de Recebíveis do Agronegócio,PRIMARIA,Registro Concedido,CANAL COMPANHIA DE SECURITIZAÇÃO,41.811.375/0001-19,RB INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,89.960.090/0001-76,"35.000.000,0000",24/07/2025,OPD Aut Profissional - com bookbuilding,False,True,True,
21302,4242,2256/2025,SRE/2255/2025,CVM/SRE/AUT/FIP/PRI/2025/180,Cotas de FIP,PRIMARIA,Oferta Encerrada,LH TECH VENTURES FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES CAPITAL SEMENTE,44.603.485/0001-83,MF PEPPER SERVIÇOS FINANCEIROS LTDA.,42.039.298/0001-93,"4.000.000,0000",24/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,LH TECH VENTURES FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES CAPITAL SEMENTE
21229,4242,2255/2025,SRE/2254/2025,CVM/SRE/AUT/FIP/PRI/2025/179,Cotas de FIP,PRIMARIA,Registro Concedido,INVISTO II FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA,61.386.931/0001-64,MF PEPPER SERVIÇOS FINANCEIROS LTDA.,42.039.298/0001-93,"15.000.000,0000",24/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,INVISTO II FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA
21359,4242,2091/2025,SRE/2090/2025,CVM/SRE/AUT/CRA/PRI/2025/125,Certificados de Recebíveis do Agronegócio,PRIMARIA,Oferta Encerrada,CANAL COMPANHIA DE SECURITIZAÇÃO,41.811.375/0001-19,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"80.000.000,0000",24/07/2025,OPD Aut Profissional - com bookbuilding,False,True,True,
21544,4242,2254/2025,SRE/2253/2025,CVM/SRE/AUT/FDC/PRI/2025/1160,Cotas de FIDC,PRIMARIA,Registro Concedido,SBK CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA,19.932.422/0001-23,SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,62.285.390/0001-40,"5.000.009,4600",24/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,SBK CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA
21491,4242,2253/2025,SRE/2252/2025,CVM/SRE/AUT/CRI/PRI/2025/414,Certificados de Recebíveis Imobiliários,PRIMARIA,Registro Concedido,CIA PROVINCIA DE SECURITIZAÇÃO,04.200.649/0001-07,CIA PROVINCIA DE SECURITIZAÇÃO,04.200.649/0001-07,"25.000.000,0000",24/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,
21503,4242,2251/2025,SRE/2250/2025,CVM/SRE/AUT/FIF/PRI/2025/134,Cotas de FIF,PRIMARIA,Registro Concedido,ADRANO FUNDO DE INVESTIMENTO FINANCEIRO,61.831.273/0001-72,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,37.678.915/0001-60,"100.000.000,0000",24/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,ADRANO FUNDO DE INVESTIMENTO FINANCEIRO
21530,4242,2250/2025,SRE/2249/2025,CVM/SRE/AUT/FIP/PRI/2025/178,Cotas de FIP,PRIMARIA,Oferta Encerrada,DSK CAPITAL TOK FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA DE RESPONSABILIDADE LIMITADA,61.868.163/0001-85,ATIVA INVESTIMENTOS S.A. C.T.C.V.,33.775.974/0001-04,"10.000.000,0000",24/07/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,DSK CAPITAL TOK FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA DE RESPONSABILIDADE LIMITADA
21282,4242,2020/2025,SRE/2019/2025,CVM/SRE/AUT/DEB/PRI/2025/536,Debêntures,PRIMARIA,Oferta Encerrada,FISIA COMERCIO DE PRODUTOS ESPORTIVOS S.A.,59.546.515/0001-34,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"500.000.000,0000",24/07/2025,OPD Aut Profissional - com bookbuilding,False,True,True,
21508,4242,2249/2025,SRE/2248/2025,CVM/SRE/AUT/FII/PRI/2025/190,Cotas de FII,PRIMARIA,Registro Concedido,AZ QUEST PANORAMA RENDA CDI FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA,61.848.349/0001-72,XP INVESTIMENTOS CCTVM S.A.,02.332.886/0001-04,"437.500.000,0000",23/07/2025,OPD Aut Público em Geral ou Qualificado - sem bookbuilding - AR,False,False,True,AZ QUEST PANORAMA RENDA CDI FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA
