idRequerimento,totalRegistros,numeroProtocolo,numeroProcesso,numeroRegistro,nomeValorMobiliario,tipoDeOferta,statusDaOferta,nomeEmissor,cnpjEmissor,nomeCoordenadorLider,cnpjCoordenadorLider,valorTotalEmReais,data,nomeTipoRequerimento,vasoComunicante,possuiBook,registroAutomatico,razaoSocialFundoAssociado
22053,4237,2706/2025,SRE/2705/2025,CVM/SRE/AUT/CRI/PRI/2025/502,Certificados de Recebíveis Imobiliários,PRIMARIA,Registro Concedido,CIA PROVINCIA DE SECURITIZAÇÃO,04.200.649/0001-07,CIA PROVINCIA DE SECURITIZAÇÃO,04.200.649/0001-07,"18.000.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,
22103,4237,2705/2025,SRE/2704/2025,CVM/SRE/AUT/FDC/PRI/2025/1375,Cotas de FIDC,PRIMARIA,Registro Concedido,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECONLOG BANK,42.449.623/0001-96,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,03.751.794/0001-13,"10.000.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECONLOG BANK
22102,4237,2704/2025,SRE/2703/2025,CVM/SRE/AUT/CRI/PRI/2025/501,Certificados de Recebíveis Imobiliários,PRIMARIA,Registro Concedido,CANAL COMPANHIA DE SECURITIZAÇÃO,41.811.375/0001-19,CANAL COMPANHIA DE SECURITIZAÇÃO,41.811.375/0001-19,"30.000.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,
22023,4237,2703/2025,SRE/2702/2025,CVM/SRE/AUT/CRI/PRI/2025/500,Certificados de Recebíveis Imobiliários,PRIMARIA,Registro Concedido,CANAL COMPANHIA DE SECURITIZAÇÃO,41.811.375/0001-19,CANAL COMPANHIA DE SECURITIZAÇÃO,41.811.375/0001-19,"10.000.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,
22072,4237,2702/2025,SRE/2701/2025,CVM/SRE/AUT/CRI/PRI/2025/499,Certificados de Recebíveis Imobiliários,PRIMARIA,Registro Concedido,CANAL COMPANHIA DE SECURITIZAÇÃO,41.811.375/0001-19,CANAL COMPANHIA DE SECURITIZAÇÃO,41.811.375/0001-19,"34.359.000,0000",01/09/2025,OPD Aut Profissional - sem bookbuilding,False,False,True,
