idRequerimento,totalRegistros,numeroProtocolo,numeroProcesso,numeroRegistro,nomeValorMobiliario,tipoDeOferta,statusDaOferta,nomeEmissor,cnpjEmissor,nomeCoordenadorLider,cnpjCoordenadorLider,valorTotalEmReais,data,nomeTipoRequerimento,vasoComunicante,possuiBook,registroAutomatico
21085,4246,1839/2025,SRE/1839/2025,CVM/SRE/AUT/DEB/PRI/2025/491,Debêntures,PRIMARIA,Oferta Encerrada,PETRORECÔNCAVO S.A.,03.342.704/0001-30,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"500.000.000,0000",02/07/2025,OPD Aut Profissional - com bookbuilding,False,True,True
21087,4246,1840/2025,SRE/1840/2025,CVM/SRE/AUT/DEB/PRI/2025/490,Debêntures,PRIMARIA,Oferta Encerrada,AGEO TERMINAIS E ARMAZENS GERAIS S.A,03.798.096/0001-73,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"154.000.000,0000",01/07/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
21032,4246,1779/2025,SRE/1779/2025,CVM/SRE/AUT/DEB/PRI/2025/489,Debêntures,PRIMARIA,Oferta Encerrada,THOPEN SOLAR 10 S.A.,49.408.882/0001-18,XP INVESTIMENTOS CCTVM S.A.,02.332.886/0001-04,"200.000.000,0000",01/07/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
20963,4246,1732/2025,SRE/1732/2025,CVM/SRE/AUT/DEB/PRI/2025/487;CVM/SRE/AUT/DEB/PRI/2025/488,Debêntures,PRIMARIA,Oferta Encerrada,EDP ESPIRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A.,28.152.650/0001-71,BANCO BRADESCO BBI S.A.,06.271.464/0001-19,"1.200.000.000,0000",01/07/2025,OPD Aut Profissional - com bookbuilding,False,True,True
21199,4246,1949/2025,SRE/1948/2025,CVM/SRE/AUT/DEB/PRI/2025/486,Debêntures,PRIMARIA,Oferta Encerrada,MATRIX COMERCIALIZADORA DE ENERGIA ELÉTRICA S.A.,17.858.631/0001-49,ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,33.817.677/0001-76,"47.300.000,0000",30/06/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
20911,4246,1678/2025,SRE/1678/2025,CVM/SRE/AUT/DEB/PRI/2025/485,Debêntures,PRIMARIA,Oferta Encerrada,EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.,04.895.728/0001-80,BTG PACTUAL INVESTMENT BANKING LTDA.,46.482.072/0001-13,"1.300.000.000,0000",30/06/2025,OPD Aut Profissional - com bookbuilding,False,True,True
20914,4246,1679/2025,SRE/1679/2025,CVM/SRE/AUT/DEB/PRI/2025/484,Debêntures,PRIMARIA,Oferta Encerrada,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,05.965.546/0001-09,BTG PACTUAL INVESTMENT BANKING LTDA.,46.482.072/0001-13,"150.000.000,0000",30/06/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
20912,4246,1680/2025,SRE/1680/2025,CVM/SRE/AUT/DEB/PRI/2025/483,Debêntures,PRIMARIA,Oferta Encerrada,CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA,08.467.115/0001-00,BTG PACTUAL INVESTMENT BANKING LTDA.,46.482.072/0001-13,"300.000.000,0000",30/06/2025,OPD Aut Profissional - com bookbuilding,False,True,True
20887,4246,1655/2025,SRE/1655/2025,CVM/SRE/AUT/DEB/PRI/2025/482,Debêntures,PRIMARIA,Oferta Encerrada,VERDE 08 ENERGIA S.A.,19.729.992/0001-10,ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,33.817.677/0001-76,"140.000.000,0000",30/06/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
21180,4246,1926/2025,SRE/1925/2025,CVM/SRE/AUT/DEB/PRI/2025/481,Debêntures,PRIMARIA,Oferta Encerrada,SELF IT ACADEMIAS HOLDING S.A.,22.902.694/0001-95,"UBS BB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",02.819.125/0001-73,"80.000.000,0000",30/06/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
21176,4246,1927/2025,SRE/1926/2025,CVM/SRE/AUT/DEB/PRI/2025/480,Debêntures,PRIMARIA,Oferta Encerrada,OMNI TAXI AEREO S/A,03.670.763/0001-38,"UBS BB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",02.819.125/0001-73,"200.000.000,0000",30/06/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
21230,4246,1974/2025,SRE/1973/2025,CVM/SRE/AUT/DEB/PRI/2025/479,Debêntures,PRIMARIA,Registro Concedido,ARTESANAL SECURITIZADORA DE CREDITOS S/A,52.890.908/0001-11,TERRA INVESTIMENTOS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,03.751.794/0001-13,"125.000.000,0000",27/06/2025,OPD Aut Profissional - sem bookbuilding,False,False,True
21225,4246,1972/2025,SRE/1971/2025,CVM/SRE/AUT/DEB/PRI/2025/475;CVM/SRE/AUT/DEB/PRI/2025/476;CVM/SRE/AUT/DEB/PRI/2025/477,Debêntures,PRIMARIA,Oferta Encerrada,OPEA SECURITIZADORA S.A.,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,02.773.542/0001-22,"70.000.000,0000",27/06/2025,OPD Aut Profissional - sem bookbuilding,False,False,True
20915,4246,1695/2025,SRE/1695/2025,CVM/SRE/AUT/DEB/PRI/2025/474,Debêntures,PRIMARIA,Oferta Encerrada,MARANGATU HOLDING S.A.,44.493.502/0001-77,BANCO BRADESCO BBI S.A.,06.271.464/0001-19,"655.000.000,0000",26/06/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
20916,4246,1694/2025,SRE/1694/2025,CVM/SRE/AUT/DEB/PRI/2025/473,Debêntures,PRIMARIA,Oferta Encerrada,PANATI HOLDING S.A.,44.507.274/0001-47,BANCO BRADESCO BBI S.A.,06.271.464/0001-19,"155.000.000,0000",26/06/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
21113,4246,1856/2025,SRE/1856/2025,CVM/SRE/AUT/DEB/PRI/2025/472,Debêntures,PRIMARIA,Oferta Encerrada,FARMAX DISTRIBUIDORA S.A,47.291.565/0001-39,"UBS BB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",02.819.125/0001-73,"60.000.000,0000",26/06/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
21066,4246,1816/2025,SRE/1816/2025,CVM/SRE/AUT/DEB/PRI/2025/471,Debêntures,PRIMARIA,Oferta Encerrada,PBG S/A,83.475.913/0001-91,"UBS BB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",02.819.125/0001-73,"300.000.000,0000",26/06/2025,OPD Aut Profissional - com bookbuilding,False,True,True
20858,4246,1641/2025,SRE/1641/2025,CVM/SRE/AUT/DEB/PRI/2025/470,Debêntures,PRIMARIA,Oferta Encerrada,DESKTOP S.A,08.170.849/0001-15,BANCO VOTORANTIM S.A.,59.588.111/0001-03,"437.500.000,0000",26/06/2025,OPD Aut Profissional - com bookbuilding,False,True,True
20802,4246,1578/2025,SRE/1578/2025,CVM/SRE/AUT/DEB/PRI/2025/469,Debêntures,PRIMARIA,Oferta Encerrada,NADIR FIGUEIREDO S.A.,61.067.161/0001-97,ITAU BBA ASSESSORIA FINANCEIRA S.A,04.845.753/0001-59,"500.000.000,0000",26/06/2025,OPD Aut Profissional - com bookbuilding - Emissor Não Registrado,False,True,True
